iteration,d1,d2,d3,varying_d1,varying_d2,varying_d3,initial_memory_usage_kb,input_data_memory_usage_kb,final_memory_usage_kb
13,1200,100,100,True,False,False,11036,317544,696484
13,100,1200,100,False,True,False,11160,326040,704844
13,100,100,1200,False,False,True,11224,302896,681516
14,1200,100,100,True,False,False,11076,318168,697588
14,100,1200,100,False,True,False,10944,312612,692296
14,100,100,1200,False,False,True,11016,315176,694192
15,1200,100,100,True,False,False,11020,319840,698724
15,100,1200,100,False,True,False,11152,323852,703144
15,100,100,1200,False,False,True,11036,309540,687232
16,1200,100,100,True,False,False,11124,315248,694092
16,100,1200,100,False,True,False,11016,324176,700992
16,100,100,1200,False,False,True,11160,321508,698672
17,1200,100,100,True,False,False,11028,320708,699692
17,100,1200,100,False,True,False,10984,314912,693660
17,100,100,1200,False,False,True,11152,324064,701040
18,1200,100,100,True,False,False,10984,311096,689800
18,100,1200,100,False,True,False,11124,325564,702544
18,100,100,1200,False,False,True,10948,324512,701420
19,1200,100,100,True,False,False,11020,309776,687608
19,100,1200,100,False,True,False,11048,317976,694556
19,100,100,1200,False,False,True,11016,322992,702172
20,1200,100,100,True,False,False,11116,316768,694620
20,100,1200,100,False,True,False,11116,327420,706644
20,100,100,1200,False,False,True,11228,323092,702360
21,1200,100,100,True,False,False,11124,321860,703700
21,100,1200,100,False,True,False,11040,312396,694508
21,100,100,1200,False,False,True,11152,318192,695572
22,1200,100,100,True,False,False,11028,311680,689176
